INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,PRES,TEMP
1,T,231219,205855,48.346672N,18.296062E,179,12.7,226,999.5,23 
2,T,231219,205909,48.346359N,18.295547E,177,12.4,222,999.7,23 
3,T,231219,205920,48.346020N,18.294989E,173,23.7,227,999.7,23 
4,T,231219,205927,48.345680N,18.294418E,172,29.8,228,999.8,23 
5,T,231219,205935,48.345333N,18.293863E,172,10.6,228,999.9,23 
6,T,231219,205947,48.345516N,18.293283E,173,27.0,309,999.8,23 
7,T,231219,205953,48.345844N,18.292709E,172,34.0,311,999.7,23 
8,T,231219,205959,48.346233N,18.292145E,172,36.5,317,999.6,23 
9,T,231219,210004,48.346626N,18.291630E,173,42.4,320,999.5,23 
10,T,231219,210008,48.346989N,18.291197E,173,45.3,322,999.6,23 
11,T,231219,210012,48.347382N,18.290764E,174,48.5,323,999.5,24 
12,T,231219,210016,48.347801N,18.290304E,175,49.7,322,999.4,24 
13,T,231219,210020,48.348213N,18.289839E,176,51.1,322,999.5,24 
14,T,231219,210024,48.348618N,18.289377E,176,48.7,323,999.5,24 
15,T,231219,210028,48.349010N,18.288923E,177,48.5,323,999.5,24 
16,T,231219,210032,48.349407N,18.288481E,177,48.7,322,999.5,24 
17,T,231219,210036,48.349800N,18.288040E,178,48.2,323,999.6,24 
18,T,231219,210040,48.350185N,18.287621E,177,47.6,325,999.5,24 
19,T,231219,210044,48.350594N,18.287203E,178,50.0,324,999.5,24 
20,T,231219,210048,48.351040N,18.286755E,177,54.3,327,999.5,24 
21,T,231219,210052,48.351509N,18.286312E,176,54.8,328,999.6,24 
22,T,231219,210056,48.351974N,18.285896E,176,54.2,330,999.5,24 
23,T,231219,210100,48.352440N,18.285501E,175,53.2,332,999.5,24 
24,T,231219,210104,48.352909N,18.285137E,177,52.5,333,999.5,24 
25,T,231219,210108,48.353367N,18.284796E,179,51.2,333,999.4,24 
26,T,231219,210112,48.353832N,18.284466E,181,51.7,334,999.4,24 
27,T,231219,210116,48.354294N,18.284159E,182,51.7,336,999.3,24 
28,T,231219,210120,48.354767N,18.283875E,183,50.7,338,999.3,24 
29,T,231219,210124,48.355255N,18.283609E,183,51.2,339,999.3,24 
30,T,231219,210128,48.355728N,18.283361E,183,50.0,340,999.3,24 
31,T,231219,210132,48.356201N,18.283127E,184,50.6,342,999.2,24 
32,T,231219,210136,48.356686N,18.282896E,186,51.8,343,999.1,24 
33,T,231219,210140,48.357197N,18.282677E,188,53.0,343,999.0,24 
34,T,231219,210144,48.357712N,18.282434E,187,53.0,342,998.9,24 
35,T,231219,210148,48.358223N,18.282148E,185,53.2,337,998.9,24 
36,T,231219,210152,48.358704N,18.281824E,185,53.2,333,998.8,24 
37,T,231219,210156,48.359180N,18.281414E,183,55.3,327,998.8,24 
38,T,231219,210200,48.359638N,18.280916E,183,58.1,322,998.9,24 
39,T,231219,210204,48.360088N,18.280344E,183,57.8,317,998.9,24 
40,T,231219,210208,48.360485N,18.279718E,182,57.9,311,999.1,24 
41,T,231219,210212,48.360844N,18.279016E,183,57.7,305,999.3,24 
42,T,231219,210216,48.361156N,18.278269E,182,58.5,299,999.6,24 
43,T,231219,210220,48.361435N,18.277472E,179,59.9,294,999.7,24 
44,T,231219,210223,48.361614N,18.276844E,178,60.6,291,999.7,24 
45,T,231219,210227,48.361824N,18.276003E,176,59.8,289,999.8,24 
46,T,231219,210230,48.361980N,18.275364E,176,60.0,289,999.9,24 
47,T,231219,210233,48.362137N,18.274719E,176,59.7,288,999.9,24 
48,T,231219,210237,48.362335N,18.273878E,174,59.4,289,999.8,24 
49,T,231219,210241,48.362530N,18.273035E,174,58.7,288,999.9,24 
50,T,231219,210245,48.362728N,18.272202E,173,58.6,288,999.9,24 
51,T,231219,210249,48.362919N,18.271357E,171,59.6,289,999.9,24 
52,T,231219,210252,48.363068N,18.270714E,171,59.6,288,999.8,24 
53,T,231219,210256,48.363258N,18.269886E,172,57.0,289,999.8,24 
54,T,231219,210300,48.363445N,18.269091E,174,55.4,288,999.7,24 
55,T,231219,210304,48.363632N,18.268305E,173,54.3,289,999.6,25 
56,T,231219,210308,48.363811N,18.267538E,173,53.3,289,999.6,25 
57,T,231219,210312,48.363987N,18.266823E,173,48.4,289,999.5,25 
58,T,231219,210316,48.364147N,18.266136E,173,47.7,289,999.5,25 
59,T,231219,210320,48.364300N,18.265472E,174,47.9,288,999.5,25 
60,T,231219,210324,48.364456N,18.264790E,176,50.1,289,999.5,25 
61,T,231219,210328,48.364628N,18.264069E,179,52.1,289,999.5,25 
62,T,231219,210332,48.364803N,18.263308E,180,54.2,289,999.5,25 
63,T,231219,210336,48.364986N,18.262526E,181,55.7,290,999.5,25 
64,T,231219,210340,48.365177N,18.261736E,181,55.7,288,999.5,25 
65,T,231219,210344,48.365368N,18.260925E,181,57.2,289,999.4,25 
66,T,231219,210348,48.365559N,18.260124E,181,56.6,289,999.4,25 
67,T,231219,210352,48.365757N,18.259314E,182,57.0,289,999.3,25 
68,T,231219,210356,48.365952N,18.258495E,183,57.2,288,999.2,25 
69,T,231219,210400,48.366150N,18.257664E,182,57.6,289,999.2,25 
70,T,231219,210404,48.366348N,18.256819E,183,60.9,289,999.1,25 
71,T,231219,210407,48.366508N,18.256165E,182,61.3,289,999.0,25 
72,T,231219,210410,48.366673N,18.255507E,182,60.8,289,999.0,25 
73,T,231219,210413,48.366825N,18.254856E,181,61.1,289,998.9,25 
