INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,PRES,TEMP
1,T,231229,103920,48.374626N,18.003448E,141,5.3,327,1000.6,20 
2,T,231229,103925,48.374672N,18.003418E,145,5.2,325,1000.6,20 
3,T,231229,103930,48.374718N,18.003378E,150,5.0,315,1000.6,20 
4,T,231229,103935,48.374767N,18.003344E,153,4.9,338,1000.6,20 
5,T,231229,103940,48.374802N,18.003283E,155,3.8,300,1000.6,20 
6,T,231229,103944,48.374840N,18.003227E,156,5.4,330,1000.6,20 
7,T,231229,103948,48.374886N,18.003193E,156,5.2,326,1000.5,20 
8,T,231229,103952,48.374931N,18.003143E,157,4.6,312,1000.5,20 
9,T,231229,103956,48.374973N,18.003098E,158,4.9,324,1000.5,20 
10,T,231229,104001,48.375015N,18.003061E,158,3.6,340,1000.5,20 
11,T,231229,104007,48.375061N,18.003042E,159,4.0,350,1000.4,20 
12,T,231229,104012,48.375114N,18.003023E,159,5.1,344,1000.5,20 
13,T,231229,104016,48.375160N,18.002991E,159,5.1,339,1000.5,20 
14,T,231229,104020,48.375210N,18.002960E,159,4.7,341,1000.5,20 
15,T,231229,104024,48.375248N,18.002916E,159,5.0,316,1000.4,20 
16,T,231229,104029,48.375286N,18.002855E,159,4.7,326,1000.4,20 
17,T,231229,104034,48.375328N,18.002811E,159,4.5,325,1000.5,20 
18,T,231229,104038,48.375362N,18.002766E,160,4.1,300,1000.4,20 
19,T,231229,104044,48.375408N,18.002748E,160,3.5,3,1000.4,20 
20,T,231229,104048,48.375458N,18.002720E,161,4.7,338,1000.5,20 
21,T,231229,104052,48.375496N,18.002676E,161,4.9,320,1000.4,20 
22,T,231229,104056,48.375538N,18.002636E,161,4.2,335,1000.6,20 
23,T,231229,104100,48.375580N,18.002598E,161,4.7,327,1000.6,20 
24,T,231229,104104,48.375626N,18.002571E,162,3.2,344,1000.4,20 
25,T,231229,104109,48.375660N,18.002529E,162,3.7,326,1000.5,20 
26,T,231229,104113,48.375694N,18.002483E,162,4.1,313,1000.5,20 
27,T,231229,104117,48.375732N,18.002438E,162,4.7,311,1000.5,20 
28,T,231229,104122,48.375767N,18.002375E,162,4.3,315,1000.4,20 
29,T,231229,104126,48.375801N,18.002323E,163,3.7,306,1000.4,20 
30,T,231229,104132,48.375851N,18.002302E,162,2.8,317,1000.5,20 
31,T,231229,104137,48.375896N,18.002275E,162,4.3,336,1000.4,20 
32,T,231229,104142,48.375950N,18.002239E,162,4.7,340,1000.4,20 
33,T,231229,104146,48.375996N,18.002232E,161,5.3,354,1000.4,20 
34,T,231229,104151,48.376049N,18.002247E,161,4.0,9,1000.6,20 
35,T,231229,104157,48.376087N,18.002283E,161,2.0,87,1000.5,20 
36,T,231229,104214,48.376102N,18.002348E,161,2.6,75,1000.9,20 
37,T,231229,104219,48.376125N,18.002407E,161,3.0,63,1000.8,20 
38,T,231229,104224,48.376160N,18.002464E,160,2.8,42,1000.9,20 
39,T,231229,104228,48.376202N,18.002499E,159,3.4,27,1001.2,20 
40,T,231229,104233,48.376236N,18.002552E,159,2.6,29,1001.1,20 
41,T,231229,104245,48.376286N,18.002569E,158,3.1,10,1001.0,20 
42,T,231229,104249,48.376324N,18.002611E,157,3.9,46,1001.1,20 
43,T,231229,104253,48.376339N,18.002684E,157,4.2,70,1001.2,20 
44,T,231229,104257,48.376362N,18.002752E,156,4.6,66,1001.2,20 
45,T,231229,104300,48.376377N,18.002817E,156,5.3,71,1001.4,20 
46,T,231229,104303,48.376392N,18.002890E,155,4.7,72,1001.3,19 
47,T,231229,104306,48.376408N,18.002956E,155,5.1,77,1001.2,19 
48,T,231229,104310,48.376427N,18.003040E,155,4.8,85,1001.7,19 
49,T,231229,104313,48.376446N,18.003101E,154,5.2,77,1001.3,19 
50,T,231229,104317,48.376472N,18.003181E,154,4.9,64,1001.3,19 
51,T,231229,104321,48.376492N,18.003244E,154,4.2,56,1001.4,19 
52,T,231229,104325,48.376518N,18.003305E,153,4.9,58,1001.3,19 
53,T,231229,104329,48.376530N,18.003384E,152,4.2,73,1001.5,19 
54,T,231229,104333,48.376541N,18.003468E,151,6.2,77,1001.4,19 
55,T,231229,104337,48.376549N,18.003542E,149,4.9,74,1001.4,19 
56,T,231229,104340,48.376556N,18.003611E,149,5.8,74,1001.5,19 
57,T,231229,104343,48.376575N,18.003674E,148,5.6,74,1001.4,19 
58,T,231229,104346,48.376598N,18.003736E,149,6.4,73,1001.5,19 
59,T,231229,104350,48.376621N,18.003817E,148,4.9,67,1001.6,19 
60,T,231229,104355,48.376633N,18.003897E,148,5.0,73,1001.5,19 
61,T,231229,104359,48.376656N,18.003967E,148,4.4,60,1001.6,19 
62,T,231229,104403,48.376678N,18.004034E,148,4.7,71,1001.5,19 
63,T,231229,104408,48.376701N,18.004116E,148,5.1,73,1001.7,19 
64,T,231229,104412,48.376717N,18.004190E,149,4.5,78,1001.7,19 
65,T,231229,104416,48.376728N,18.004257E,149,4.8,69,1001.6,19 
66,T,231229,104420,48.376751N,18.004341E,149,6.0,71,1001.7,19 
67,T,231229,104424,48.376766N,18.004425E,149,5.9,65,1001.8,19 
68,T,231229,104428,48.376797N,18.004482E,149,2.0,49,1001.8,19 
69,T,231229,104437,48.376812N,18.004557E,149,3.7,66,1002.2,19 
70,T,231229,104441,48.376827N,18.004635E,149,3.6,56,1001.8,19 
71,T,231229,104444,48.376846N,18.004696E,149,5.5,69,1001.9,19 
72,T,231229,104447,48.376865N,18.004763E,149,5.5,60,1002.2,19 
73,T,231229,104451,48.376888N,18.004847E,148,4.9,79,1001.9,19 
74,T,231229,104454,48.376900N,18.004917E,148,4.9,74,1002.0,19 
75,T,231229,104458,48.376919N,18.004997E,148,4.5,79,1002.1,19 
76,T,231229,104502,48.376942N,18.005058E,148,2.0,24,1002.0,19 
77,T,231229,104507,48.376953N,18.005144E,148,4.7,73,1002.1,19 
78,T,231229,104511,48.376968N,18.005222E,148,5.2,74,1002.1,19 
79,T,231229,104515,48.376991N,18.005283E,148,4.3,53,1002.1,19 
80,T,231229,104520,48.377014N,18.005344E,147,4.5,42,1002.1,19 
81,T,231229,104524,48.377060N,18.005383E,147,5.4,27,1002.2,19 
82,T,231229,104528,48.377102N,18.005411E,147,3.2,17,1002.2,19 
83,T,231229,104531,48.377148N,18.005424E,147,6.0,3,1002.3,19 
84,T,231229,104535,48.377201N,18.005396E,147,5.1,331,1002.1,19 
85,T,231229,104539,48.377247N,18.005350E,147,4.6,326,1002.2,19 
86,T,231229,104543,48.377296N,18.005308E,147,4.4,321,1002.3,18 
87,T,231229,104548,48.377338N,18.005255E,147,4.3,315,1002.2,18 
88,T,231229,104551,48.377373N,18.005207E,148,4.8,318,1002.2,18 
89,T,231229,104555,48.377407N,18.005156E,149,4.2,321,1002.4,18 
90,T,231229,104559,48.377445N,18.005112E,149,4.1,308,1002.2,18 
91,T,231229,104603,48.377487N,18.005074E,149,4.3,307,1002.5,18 
92,T,231229,104606,48.377522N,18.005026E,150,4.4,306,1002.3,18 
93,T,231229,104610,48.377552N,18.004974E,150,4.7,315,1002.3,18 
94,T,231229,104613,48.377586N,18.004929E,150,5.1,320,1002.4,18 
95,T,231229,104616,48.377617N,18.004871E,150,5.4,309,1002.4,18 
96,T,231229,104620,48.377651N,18.004805E,151,4.6,311,1002.3,18 
97,T,231229,104623,48.377682N,18.004753E,151,4.8,321,1002.4,18 
98,T,231229,104627,48.377716N,18.004696E,152,5.0,316,1002.3,18 
99,T,231229,104631,48.377750N,18.004637E,152,5.1,321,1002.4,18 
100,T,231229,104635,48.377785N,18.004578E,152,5.1,323,1002.3,18 
101,T,231229,104639,48.377819N,18.004517E,152,5.4,307,1002.4,18 
102,T,231229,104643,48.377857N,18.004461E,153,4.3,319,1002.4,18 
103,T,231229,104647,48.377888N,18.004396E,153,5.1,308,1002.3,18 
104,T,231229,104651,48.377918N,18.004335E,153,4.7,309,1002.4,18 
105,T,231229,104655,48.377956N,18.004284E,153,5.2,315,1002.4,18 
106,T,231229,104659,48.377991N,18.004225E,153,5.5,313,1002.5,18 
107,T,231229,104702,48.378021N,18.004175E,153,5.1,312,1002.5,18 
108,T,231229,104706,48.378056N,18.004120E,153,5.6,309,1002.5,18 
109,T,231229,104710,48.378094N,18.004049E,153,5.3,311,1002.5,18 
110,T,231229,104714,48.378128N,18.003984E,152,5.3,313,1002.4,18 
111,T,231229,104718,48.378162N,18.003916E,152,5.6,314,1002.6,18 
112,T,231229,104721,48.378193N,18.003862E,152,5.2,310,1002.6,18 
113,T,231229,104724,48.378212N,18.003798E,152,5.6,302,1002.3,18 
114,T,231229,104728,48.378239N,18.003723E,152,5.2,306,1002.6,18 
115,T,231229,104732,48.378273N,18.003664E,152,4.9,304,1002.4,18 
116,T,231229,104736,48.378304N,18.003607E,152,5.2,313,1002.6,18 
117,T,231229,104740,48.378338N,18.003555E,153,5.1,316,1002.5,18 
118,T,231229,104744,48.378380N,18.003510E,153,5.0,324,1002.7,18 
119,T,231229,104748,48.378414N,18.003456E,153,5.3,300,1002.5,18 
120,T,231229,104752,48.378448N,18.003399E,153,5.5,314,1002.9,18 
121,T,231229,104756,48.378494N,18.003357E,152,4.8,334,1002.7,18 
122,T,231229,104803,48.378536N,18.003307E,152,3.3,323,1002.7,18 
123,T,231229,104807,48.378590N,18.003283E,152,5.5,345,1003.0,18 
124,T,231229,104811,48.378639N,18.003262E,152,5.4,349,1002.8,18 
125,T,231229,104815,48.378696N,18.003250E,151,5.1,1,1002.8,18 
126,T,231229,104819,48.378761N,18.003254E,149,6.2,355,1003.0,18 
127,T,231229,104823,48.378815N,18.003237E,148,5.2,347,1003.0,18 
128,T,231229,104827,48.378868N,18.003204E,147,5.3,333,1003.3,18 
129,T,231229,104831,48.378906N,18.003145E,146,5.4,301,1003.0,18 
130,T,231229,104835,48.378944N,18.003088E,145,5.4,340,1003.1,18 
131,T,231229,104839,48.378986N,18.003040E,144,5.5,315,1003.0,18 
132,T,231229,104843,48.379025N,18.002983E,144,5.1,314,1003.1,18 
133,T,231229,104847,48.379055N,18.002930E,144,5.1,314,1002.9,18 
134,T,231229,104853,48.379093N,18.002874E,143,3.8,322,1002.9,18 
135,T,231229,104858,48.379135N,18.002817E,143,4.1,317,1003.0,18 
136,T,231229,104902,48.379177N,18.002777E,142,4.7,324,1002.9,18 
137,T,231229,104906,48.379215N,18.002733E,142,5.4,329,1003.0,18 
138,T,231229,104910,48.379261N,18.002691E,142,4.9,341,1002.9,18 
139,T,231229,104914,48.379299N,18.002653E,142,5.3,332,1002.9,18 
140,T,231229,104917,48.379341N,18.002625E,142,5.3,335,1002.8,18 
141,T,231229,104921,48.379383N,18.002583E,142,4.2,333,1002.9,18 
142,T,231229,104926,48.379433N,18.002579E,142,4.4,352,1002.8,18 
143,T,231229,104931,48.379482N,18.002588E,142,5.0,15,1002.9,18 
144,T,231229,104935,48.379536N,18.002621E,143,5.4,24,1002.8,18 
145,T,231229,104939,48.379589N,18.002626E,142,4.8,343,1002.6,18 
146,T,231229,104943,48.379627N,18.002583E,143,5.1,327,1002.7,18 
147,T,231229,104947,48.379669N,18.002537E,144,5.0,323,1002.8,18 
148,T,231229,104951,48.379715N,18.002502E,145,4.7,331,1002.7,18 
149,T,231229,104955,48.379753N,18.002460E,146,4.6,307,1002.7,18 
150,T,231229,104959,48.379784N,18.002403E,146,5.2,316,1002.9,18 
151,T,231229,105004,48.379829N,18.002356E,147,3.8,311,1002.9,18 
152,T,231229,105010,48.379860N,18.002289E,148,3.4,327,1002.8,18 
153,T,231229,105014,48.379906N,18.002264E,148,5.0,347,1002.7,18 
154,T,231229,105018,48.379955N,18.002228E,148,5.7,341,1002.7,18 
155,T,231229,105021,48.379997N,18.002209E,148,4.5,343,1002.8,18 
156,T,231229,105025,48.380043N,18.002174E,148,5.1,331,1002.8,18 
157,T,231229,105028,48.380081N,18.002136E,148,5.3,332,1002.8,18 
