INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,PRES,TEMP
1,T,240122,180135,48.406445N,17.155443E,236,0.8,145,991.8,25 
2,T,240122,180200,48.406399N,17.154682E,235,15.5,236,992.0,25 
3,T,240122,180207,48.405952N,17.154686E,234,31.4,172,992.3,25 
4,T,240122,180211,48.405491N,17.154852E,232,42.1,168,992.6,25 
5,T,240122,180215,48.405037N,17.155022E,232,46.7,168,992.7,25 
6,T,240122,180219,48.404545N,17.155169E,231,49.7,169,992.6,25 
7,T,240122,180223,48.404041N,17.155302E,230,49.2,173,992.7,25 
8,T,240122,180227,48.403564N,17.155285E,228,47.1,189,992.7,25 
9,T,240122,180231,48.403053N,17.155144E,227,52.7,189,992.7,25 
10,T,240122,180235,48.402534N,17.154997E,228,53.7,188,992.7,25 
11,T,240122,180239,48.401951N,17.154936E,229,63.8,179,992.8,25 
12,T,240122,180242,48.401409N,17.154993E,231,77.3,174,992.7,25 
13,T,240122,180245,48.400806N,17.155107E,232,80.2,173,992.7,25 
14,T,240122,180248,48.400211N,17.155214E,233,79.6,174,992.8,25 
15,T,240122,180251,48.399597N,17.155308E,234,79.9,174,992.7,25 
16,T,240122,180254,48.398952N,17.155416E,233,87.2,174,992.7,25 
17,T,240122,180257,48.398289N,17.155514E,233,88.1,175,992.7,25 
18,T,240122,180259,48.397839N,17.155544E,233,90.1,178,992.7,25 
19,T,240122,180301,48.397377N,17.155544E,233,91.4,180,992.8,25 
20,T,240122,180303,48.396915N,17.155523E,233,92.9,182,992.8,25 
21,T,240122,180305,48.396446N,17.155497E,233,93.4,182,992.8,25 
22,T,240122,180307,48.395981N,17.155474E,233,92.9,181,992.9,25 
23,T,240122,180309,48.395512N,17.155443E,234,93.2,182,992.8,25 
24,T,240122,180311,48.395046N,17.155418E,234,92.6,182,992.7,25 
25,T,240122,180313,48.394588N,17.155388E,234,92.4,182,992.5,25 
26,T,240122,180315,48.394131N,17.155361E,235,91.5,182,992.6,25 
27,T,240122,180317,48.393669N,17.155342E,235,91.5,181,992.3,25 
28,T,240122,180319,48.393192N,17.155315E,235,96.1,182,992.2,25 
29,T,240122,180321,48.392712N,17.155285E,235,96.1,182,992.0,25 
30,T,240122,180323,48.392239N,17.155254E,235,97.4,182,991.9,25 
31,T,240122,180325,48.391781N,17.155224E,235,90.4,182,992.1,25 
32,T,240122,180327,48.391327N,17.155205E,236,89.4,181,991.9,25 
33,T,240122,180329,48.390873N,17.155190E,236,90.4,180,991.8,25 
34,T,240122,180331,48.390423N,17.155180E,236,88.4,180,991.6,25 
35,T,240122,180334,48.389748N,17.155163E,236,89.2,181,991.5,25 
36,T,240122,180337,48.389084N,17.155144E,237,88.1,180,991.1,25 
37,T,240122,180340,48.388432N,17.155104E,238,88.8,182,990.9,25 
38,T,240122,180343,48.387772N,17.155041E,239,87.2,184,990.7,25 
39,T,240122,180346,48.387138N,17.154917E,238,84.4,188,990.2,25 
40,T,240122,180349,48.386513N,17.154739E,236,83.6,190,990.2,25 
41,T,240122,180352,48.385887N,17.154564E,233,81.5,190,990.4,25 
42,T,240122,180355,48.385296N,17.154400E,232,79.4,190,990.6,25 
43,T,240122,180358,48.384754N,17.154219E,231,71.3,193,990.8,25 
44,T,240122,180401,48.384251N,17.153984E,231,71.6,198,991.1,25 
45,T,240122,180404,48.383755N,17.153698E,231,70.4,201,991.5,25 
46,T,240122,180407,48.383286N,17.153364E,231,69.2,205,991.3,25 
47,T,240122,180410,48.382832N,17.153015E,233,69.4,203,990.9,25 
48,T,240122,180413,48.382359N,17.152664E,235,69.4,205,990.6,25 
49,T,240122,180416,48.381893N,17.152344E,239,67.4,204,990.1,25 
50,T,240122,180419,48.381439N,17.152021E,242,66.6,204,989.7,25 
51,T,240122,180422,48.380993N,17.151693E,244,67.7,207,989.5,25 
52,T,240122,180425,48.380524N,17.151333E,245,70.4,209,989.6,25 
53,T,240122,180428,48.380077N,17.150921E,244,69.5,213,990.2,25 
54,T,240122,180431,48.379669N,17.150476E,244,66.8,217,990.0,25 
55,T,240122,180434,48.379272N,17.150038E,245,65.8,212,990.0,25 
56,T,240122,180437,48.378857N,17.149712E,246,61.8,203,990.1,25 
57,T,240122,180440,48.378407N,17.149458E,248,66.2,198,989.9,25 
58,T,240122,180443,48.377930N,17.149210E,249,68.2,199,989.6,25 
59,T,240122,180446,48.377460N,17.148972E,251,65.0,198,989.7,25 
60,T,240122,180449,48.376987N,17.148785E,253,65.4,191,989.7,25 
61,T,240122,180452,48.376507N,17.148687E,256,65.1,184,989.4,25 
62,T,240122,180455,48.376038N,17.148672E,257,60.7,179,989.2,25 
63,T,240122,180459,48.375462N,17.148752E,260,55.5,173,989.2,25 
64,T,240122,180503,48.374931N,17.148842E,260,50.1,173,988.8,25 
65,T,240122,180507,48.374416N,17.148926E,260,52.0,174,988.9,25 
66,T,240122,180511,48.373913N,17.148985E,261,49.1,179,988.5,25 
67,T,240122,180515,48.373409N,17.148912E,261,52.6,190,988.4,25 
68,T,240122,180519,48.372894N,17.148630E,261,55.0,204,988.3,26 
69,T,240122,180523,48.372364N,17.148226E,261,59.0,206,988.1,26 
70,T,240122,180527,48.371849N,17.147852E,263,52.4,206,988.1,26 
71,T,240122,180531,48.371384N,17.147476E,265,52.0,207,988.1,26 
72,T,240122,180535,48.370941N,17.147108E,265,50.3,206,987.9,26 
73,T,240122,180539,48.370487N,17.146729E,266,51.7,212,988.0,26 
74,T,240122,180543,48.370087N,17.146288E,266,47.2,219,988.1,26 
75,T,240122,180547,48.369736N,17.145777E,263,51.7,224,988.5,26 
76,T,240122,180551,48.369354N,17.145243E,261,51.6,220,988.7,26 
77,T,240122,180555,48.368927N,17.144785E,260,51.9,211,989.1,26 
78,T,240122,180559,48.368484N,17.144411E,258,50.8,207,989.6,26 
79,T,240122,180603,48.368031N,17.144075E,255,47.4,205,989.7,26 
80,T,240122,180611,48.367626N,17.143707E,251,18.6,258,990.2,26 
81,T,240122,180617,48.367863N,17.143105E,249,37.9,300,990.2,26 
82,T,240122,180622,48.368141N,17.142435E,248,41.3,302,990.0,26 
83,T,240122,180627,48.368397N,17.141785E,249,39.3,298,990.0,26 
84,T,240122,180632,48.368580N,17.141153E,249,36.4,286,989.9,26 
85,T,240122,180638,48.368656N,17.140387E,246,26.6,280,990.3,26 
86,T,240122,180647,48.368523N,17.139736E,240,21.6,240,990.2,26 
87,T,240122,180654,48.368481N,17.138964E,236,38.7,273,990.4,26 
88,T,240122,180659,48.368568N,17.138107E,233,49.6,279,990.5,26 
89,T,240122,180703,48.368660N,17.137337E,232,53.6,279,990.7,26 
90,T,240122,180707,48.368740N,17.136505E,231,57.1,275,991.0,26 
91,T,240122,180711,48.368744N,17.135612E,230,62.9,263,991.0,26 
92,T,240122,180714,48.368645N,17.134884E,228,66.1,251,991.1,26 
