INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,PRES,TEMP
1,T,231219,200036,48.372063N,18.005796E,165,0.3,327,1001.0,23 
2,T,231219,200057,48.371632N,18.006111E,166,21.8,151,1001.4,23 
3,T,231219,200110,48.371204N,18.006481E,165,12.9,145,1001.4,23 
4,T,231219,200118,48.370789N,18.006834E,166,28.2,152,1001.2,23 
5,T,231219,200125,48.370327N,18.007212E,166,32.3,150,1001.2,23 
6,T,231219,200131,48.369904N,18.007553E,166,30.1,152,1001.3,23 
7,T,231219,200137,48.369495N,18.007927E,166,29.5,150,1000.8,23 
8,T,231219,200144,48.369106N,18.008268E,165,22.0,155,1001.0,23 
9,T,231219,200151,48.368698N,18.008583E,166,27.1,152,1001.0,23 
10,T,231219,200158,48.368305N,18.008921E,166,22.6,147,1001.2,23 
11,T,231219,200208,48.367901N,18.009300E,163,11.0,145,1001.4,22 
12,T,231219,200218,48.368038N,18.009865E,159,35.2,54,1001.5,22 
13,T,231219,200223,48.368286N,18.010441E,158,35.0,55,1002.0,22 
14,T,231219,200228,48.368542N,18.011084E,156,38.4,58,1002.2,22 
15,T,231219,200234,48.368740N,18.011738E,154,14.3,65,1002.6,22 
16,T,231219,200246,48.368313N,18.012121E,149,31.2,158,1002.5,22 
17,T,231219,200252,48.367828N,18.012402E,147,34.2,157,1002.4,22 
18,T,231219,200258,48.367336N,18.012709E,147,33.5,157,1002.5,22 
19,T,231219,200304,48.366875N,18.013042E,147,29.8,149,1002.7,22 
20,T,231219,200311,48.366840N,18.013676E,147,30.8,60,1002.6,22 
21,T,231213,200316,48.367085N,18.014280E,146,39.4,60,1002.8,22 
22,T,231219,200321,48.367340N,18.014875E,146,34.2,59,1002.9,22 
23,T,231219,200327,48.367558N,18.015591E,145,33.6,78,1003.1,22 
24,T,231219,200334,48.367470N,18.016306E,141,32.8,128,1003.4,22 
25,T,231219,200340,48.367184N,18.016953E,141,33.8,123,1003.3,22 
26,T,231219,200346,48.366756N,18.017445E,140,39.6,146,1003.0,21 
27,T,231219,200351,48.366291N,18.017908E,139,44.7,146,1002.8,21 
28,T,231219,200356,48.365883N,18.018316E,139,32.9,137,1003.1,21 
29,T,231219,200408,48.365913N,18.018892E,144,28.4,57,1003.1,21 
30,T,231219,200413,48.366196N,18.019516E,144,43.7,57,1003.2,21 
31,T,231219,200417,48.366482N,18.020063E,145,45.5,49,1003.0,21 
32,T,231219,200421,48.366817N,18.020555E,145,45.4,42,1002.9,21 
33,T,231219,200425,48.367168N,18.021021E,146,46.9,42,1002.8,21 
34,T,231219,200429,48.367527N,18.021498E,146,47.5,41,1002.8,21 
35,T,231219,200433,48.367901N,18.021957E,147,46.2,42,1002.6,21 
36,T,231219,200437,48.368263N,18.022448E,148,50.1,42,1002.6,21 
37,T,231219,200441,48.368652N,18.022951E,148,50.9,41,1002.6,21 
38,T,231219,200445,48.369034N,18.023464E,147,51.7,41,1002.8,21 
39,T,231219,200449,48.369400N,18.023994E,147,50.4,46,1002.7,21 
40,T,231219,200453,48.369728N,18.024580E,147,51.5,52,1002.7,21 
41,T,231219,200457,48.370022N,18.025211E,147,51.3,56,1002.8,21 
42,T,231219,200501,48.370308N,18.025867E,148,51.9,57,1002.9,21 
43,T,231219,200505,48.370590N,18.026525E,149,52.5,55,1002.9,21 
44,T,231219,200509,48.370884N,18.027168E,149,51.4,55,1002.6,21 
45,T,231219,200513,48.371155N,18.027798E,150,47.2,56,1003.1,21 
46,T,231219,200517,48.371380N,18.028412E,149,47.3,66,1002.9,21 
47,T,231219,200521,48.371506N,18.029100E,147,48.4,76,1002.8,21 
48,T,231219,200525,48.371593N,18.029810E,145,48.6,77,1003.0,21 
49,T,231219,200529,48.371693N,18.030523E,143,49.1,77,1002.8,21 
50,T,231219,200533,48.371796N,18.031244E,145,48.1,75,1002.8,21 
51,T,231219,200537,48.371925N,18.031950E,146,49.2,74,1002.8,20 
52,T,231219,200541,48.372059N,18.032667E,147,49.0,74,1002.8,20 
53,T,231219,200545,48.372192N,18.033388E,147,50.0,75,1002.6,20 
54,T,231219,200549,48.372330N,18.034124E,147,51.2,73,1002.5,20 
55,T,231219,200553,48.372459N,18.034857E,147,49.6,74,1002.5,20 
56,T,231219,200557,48.372585N,18.035563E,147,45.6,75,1002.7,20 
57,T,231219,200602,48.372688N,18.036263E,147,31.4,79,1002.9,20 
58,T,231219,200608,48.372757N,18.037071E,146,45.6,80,1002.5,20 
59,T,231219,200612,48.372822N,18.037786E,146,49.4,81,1002.1,20 
60,T,231219,200616,48.372883N,18.038538E,146,50.1,81,1002.2,20 
61,T,231219,200620,48.372963N,18.039267E,145,47.7,78,1002.5,20 
62,T,231219,200624,48.373055N,18.039955E,144,44.9,79,1002.7,20 
63,T,231219,200629,48.373165N,18.040703E,140,35.9,82,1002.9,20 
64,T,231219,200635,48.372910N,18.041277E,143,35.3,152,1002.9,20 
65,T,231219,200639,48.372379N,18.041315E,143,48.0,168,1002.8,20 
66,T,231219,200643,48.371883N,18.041435E,141,48.9,168,1002.7,20 
67,T,231219,200647,48.371384N,18.041569E,139,47.7,169,1002.9,20 
68,T,231219,200651,48.370903N,18.041718E,137,47.5,164,1003.0,20 
69,T,231219,200655,48.370461N,18.041939E,137,46.8,158,1003.1,20 
70,T,231219,200659,48.370029N,18.042206E,138,46.5,156,1003.0,20 
71,T,231219,200703,48.369610N,18.042498E,137,46.8,155,1002.6,20 
72,T,231219,200707,48.369171N,18.042793E,139,51.0,155,1002.6,20 
73,T,231219,200711,48.368683N,18.043133E,138,56.7,156,1002.2,20 
74,T,231219,200715,48.368156N,18.043474E,139,57.8,157,1002.2,20 
75,T,231219,200718,48.367737N,18.043724E,140,63.4,158,1002.1,20 
76,T,231219,200721,48.367275N,18.044004E,140,67.0,157,1001.4,20 
77,T,231219,200724,48.366798N,18.044310E,140,70.8,155,1001.7,20 
78,T,231219,200727,48.366306N,18.044640E,138,72.5,155,1001.6,20 
79,T,231219,200730,48.365810N,18.044987E,137,72.7,154,1002.9,19 
80,T,231219,200733,48.365307N,18.045357E,137,75.3,154,1003.4,19 
81,T,231219,200736,48.364780N,18.045729E,136,76.0,155,1003.4,19 
82,T,231219,200739,48.364262N,18.046095E,136,76.6,155,1003.4,19 
83,T,231219,200742,48.363739N,18.046440E,135,74.5,155,1003.5,19 
84,T,231219,200745,48.363228N,18.046783E,134,73.4,156,1003.4,19 
85,T,231219,200748,48.362713N,18.047106E,133,73.6,158,1003.5,19 
86,T,231219,200751,48.362206N,18.047358E,133,72.1,163,1003.5,19 
87,T,231219,200754,48.361679N,18.047531E,135,72.1,170,1003.5,19 
88,T,231219,200757,48.361141N,18.047621E,135,70.7,176,1003.6,19 
89,T,231219,200800,48.360607N,18.047607E,135,71.2,182,1003.6,19 
90,T,231219,200803,48.360088N,18.047518E,134,68.7,188,1003.7,19 
91,T,231219,200806,48.359581N,18.047356E,134,69.2,193,1003.7,19 
92,T,231219,200809,48.359081N,18.047112E,134,70.1,199,1003.7,19 
93,T,231219,200812,48.358597N,18.046814E,135,70.1,202,1003.7,19 
94,T,231219,200815,48.358120N,18.046513E,135,69.8,201,1003.8,19 
95,T,231219,200818,48.357643N,18.046247E,136,69.5,197,1003.8,19 
96,T,231219,200821,48.357151N,18.046057E,138,66.3,191,1003.7,19 
97,T,231219,200824,48.356682N,18.045952E,139,60.8,184,1003.7,19 
98,T,231219,200828,48.356117N,18.045889E,139,52.4,184,1003.9,19 
99,T,231219,200832,48.355659N,18.045824E,138,37.6,183,1004.0,19 
100,T,231219,200839,48.355206N,18.045784E,139,24.7,138,1003.9,19 
101,T,231219,200845,48.354740N,18.046219E,139,48.1,158,1003.8,19 
102,T,231219,200849,48.354210N,18.046528E,137,62.2,159,1003.8,19 
103,T,231219,200852,48.353752N,18.046780E,137,67.9,159,1003.8,19 
104,T,231219,200855,48.353264N,18.047052E,135,72.0,159,1003.8,19 
105,T,231219,200858,48.352745N,18.047367E,134,76.0,157,1003.8,19 
106,T,231219,200901,48.352200N,18.047731E,134,78.0,154,1003.8,19 
107,T,231219,200904,48.351665N,18.048138E,138,79.1,152,1003.7,19 
108,T,231219,200907,48.351128N,18.048594E,139,81.9,149,1003.6,19 
109,T,231219,200910,48.350597N,18.049103E,139,82.9,146,1003.6,19 
110,T,231219,200913,48.350079N,18.049644E,139,83.6,144,1003.6,19 
111,T,231219,200916,48.349579N,18.050222E,137,83.4,141,1003.6,19 
112,T,231219,200919,48.349117N,18.050804E,137,78.2,139,1003.7,19 
113,T,231219,200922,48.348686N,18.051395E,137,76.7,135,1003.5,19 
114,T,231219,200925,48.348267N,18.052025E,138,78.0,134,1003.4,19 
115,T,231219,200928,48.347847N,18.052656E,138,77.8,135,1003.3,19 
116,T,231219,200931,48.347427N,18.053282E,139,78.3,135,1003.2,19 
117,T,231219,200934,48.346992N,18.053896E,139,79.3,137,1003.3,19 
118,T,231219,200937,48.346527N,18.054493E,138,81.6,141,1003.5,19 
119,T,231219,200940,48.346039N,18.055054E,137,82.2,143,1003.4,19 
120,T,231219,200943,48.345543N,18.055590E,137,81.3,145,1003.5,19 
121,T,231219,200946,48.345039N,18.056116E,137,82.0,145,1003.5,19 
122,T,231219,200949,48.344551N,18.056641E,137,78.8,144,1003.6,19 
123,T,231219,200952,48.344086N,18.057165E,137,77.2,141,1003.6,19 
124,T,231219,200955,48.343643N,18.057701E,137,73.4,139,1003.6,19 
125,T,231219,200958,48.343239N,18.058231E,137,70.7,137,1003.7,19 
126,T,231219,201001,48.342854N,18.058748E,134,65.9,137,1003.8,19 
127,T,231219,201004,48.342495N,18.059202E,133,61.6,142,1003.9,19 
128,T,231219,201008,48.341999N,18.059565E,133,51.1,164,1004.2,19 
