INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,PRES,TEMP
1,T,231225,144205,48.409336N,17.990740E,176,29.6,67,992.3,21 
2,T,231225,144207,48.409306N,17.990967E,123,29.8,62,992.2,21 
3,T,231225,144212,48.409515N,17.991465E,161,27.6,96,992.2,21 
4,T,231225,144219,48.409664N,17.991804E,160,0.3,28,992.4,20 
5,T,231225,144223,48.409740N,17.991730E,205,20.7,334,992.3,20 
6,T,231225,144229,48.410145N,17.991329E,159,35.8,324,992.3,20 
7,T,231225,144230,48.411079N,17.991360E,168,36.7,324,992.3,20 
8,T,231225,144234,48.411186N,17.990891E,267,42.2,319,992.3,20 
9,T,231225,144238,48.411579N,17.990442E,265,49.5,322,992.3,20 
10,T,231225,144242,48.412003N,17.989967E,263,53.2,323,992.4,20 
11,T,231225,144246,48.412415N,17.989496E,259,52.3,321,992.4,20 
12,T,231225,144250,48.412758N,17.989031E,252,44.5,322,992.4,20 
13,T,231225,144258,48.412636N,17.988815E,165,18.9,56,992.8,20 
14,T,231225,144304,48.412766N,17.989513E,159,36.8,68,992.5,20 
15,T,231225,144309,48.412956N,17.990236E,157,46.7,66,992.2,20 
16,T,231225,144313,48.413193N,17.991016E,157,62.2,65,992.5,20 
17,T,231225,144316,48.413399N,17.991722E,157,73.1,65,992.3,20 
18,T,231225,144319,48.413635N,17.992537E,158,83.3,65,992.2,20 
19,T,231225,144322,48.413895N,17.993402E,161,86.4,65,991.9,20 
20,T,231225,144325,48.414169N,17.994287E,164,88.5,65,991.8,20 
21,T,231225,144327,48.414368N,17.994904E,167,90.8,64,991.7,20 
22,T,231225,144329,48.414558N,17.995523E,169,91.2,64,991.6,20 
23,T,231225,144331,48.414753N,17.996147E,170,90.5,66,991.4,20 
24,T,231225,144333,48.414936N,17.996777E,172,91.2,64,991.3,20 
25,T,231225,144335,48.415115N,17.997402E,173,91.0,65,991.2,20 
26,T,231225,144338,48.415379N,17.998297E,174,82.0,65,990.8,20 
27,T,231225,144341,48.415581N,17.999096E,176,71.2,71,990.4,20 
28,T,231225,144344,48.415672N,17.999849E,178,66.8,83,990.0,20 
29,T,231225,144347,48.415665N,18.000576E,181,62.3,95,989.6,20 
30,T,231225,144351,48.415672N,18.001474E,186,60.7,77,989.1,20 
31,T,231225,144354,48.415848N,18.002127E,189,64.8,61,988.5,20 
32,T,231225,144357,48.416080N,18.002798E,193,68.9,62,988.0,20 
33,T,231225,144400,48.416325N,18.003492E,196,70.4,61,987.5,20 
34,T,231225,144403,48.416580N,18.004194E,199,71.6,61,987.0,20 
35,T,231225,144406,48.416836N,18.004875E,203,68.0,61,986.6,20 
36,T,231225,144409,48.417088N,18.005535E,207,65.6,59,986.2,20 
37,T,231225,144412,48.417332N,18.006157E,211,61.8,58,985.8,20 
38,T,231225,144416,48.417652N,18.006884E,211,56.8,54,985.5,20 
39,T,231225,144420,48.417919N,18.007633E,212,57.2,64,985.3,20 
40,T,231225,144424,48.418110N,18.008478E,208,60.9,74,985.5,20 
41,T,231225,144427,48.418213N,18.009167E,205,64.0,78,986.2,20 
42,T,231225,144430,48.418304N,18.009884E,202,64.9,79,986.4,20 
43,T,231225,144433,48.418392N,18.010620E,199,65.7,80,987.0,21 
44,T,231225,144436,48.418468N,18.011364E,195,68.1,82,987.5,21 
45,T,231225,144439,48.418541N,18.012154E,190,71.6,81,988.0,21 
46,T,231225,144442,48.418617N,18.012962E,187,72.2,82,988.2,21 
47,T,231225,144445,48.418690N,18.013763E,184,71.3,81,988.5,21 
48,T,231225,144448,48.418758N,18.014572E,181,71.0,82,988.9,21 
49,T,231225,144451,48.418831N,18.015388E,177,72.2,82,989.4,21 
50,T,231225,144454,48.418888N,18.016199E,173,72.3,83,990.0,21 
51,T,231225,144457,48.418941N,18.017023E,169,73.5,83,990.5,21 
52,T,231225,144500,48.418995N,18.017803E,164,64.9,83,991.0,21 
53,T,231225,144503,48.419048N,18.018496E,159,57.9,83,991.4,21 
54,T,231225,144507,48.419113N,18.019337E,157,54.9,84,991.8,21 
55,T,231225,144511,48.419159N,18.020100E,154,47.2,83,992.0,21 
56,T,231225,144515,48.419231N,18.020777E,152,44.7,77,992.3,21 
57,T,231225,144520,48.419338N,18.021614E,149,47.8,80,992.4,21 
58,T,231225,144524,48.419422N,18.022305E,148,47.1,78,992.5,21 
59,T,231225,144529,48.419548N,18.022982E,146,21.0,74,992.6,21 
60,T,231225,144543,48.419109N,18.023003E,149,33.1,188,992.7,21 
61,T,231225,144549,48.418594N,18.022964E,150,28.3,158,992.7,21 
62,T,231225,144555,48.418282N,18.023569E,151,40.5,120,992.6,21 
63,T,231225,144559,48.418041N,18.024170E,152,52.5,122,992.6,21 
64,T,231225,144603,48.417751N,18.024874E,154,54.6,121,992.4,21 
65,T,231225,144607,48.417480N,18.025551E,156,50.6,124,991.8,21 
66,T,231225,144611,48.417126N,18.025990E,157,43.9,156,991.8,21 
67,T,231225,144615,48.416634N,18.026152E,161,56.1,168,991.6,21 
68,T,231225,144618,48.416172N,18.026306E,160,65.9,167,991.3,21 
69,T,231225,144621,48.415634N,18.026485E,159,75.6,166,992.1,21 
70,T,231225,144624,48.415089N,18.026676E,158,77.7,166,992.3,21 
71,T,231225,144627,48.414543N,18.026854E,156,72.8,167,992.5,21 
72,T,231225,144630,48.414047N,18.027021E,156,61.6,166,992.5,21 
73,T,231225,144634,48.413521N,18.027149E,155,46.6,183,992.6,21 
74,T,231225,144638,48.413044N,18.026928E,156,54.5,200,992.6,21 
75,T,231225,144642,48.412518N,18.026602E,156,58.4,202,992.6,21 
76,T,231225,144646,48.411991N,18.026237E,154,55.2,204,992.6,21 
77,T,231225,144650,48.411491N,18.025923E,154,54.6,193,992.6,21 
78,T,231225,144654,48.410904N,18.025875E,155,55.1,180,992.3,21 
79,T,231225,144657,48.410439N,18.025852E,153,62.0,182,992.4,21 
